TaxonName,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
Tamandua mexicana,2,8.337710003,NA,NA,NA,NA,6.8134446,8.345217927,1,NA,5.095221511,3,NA,NA,NA,NA,0,4.736198448,NA,NA,NA,NA,0,NA,2,3,NA,NA,NA,NA
Tamandua tetradactyla,2,8.476371197,NA,6.326739639,NA,NA,6.799891633,8.160518247,1,NA,5.075173815,2,1.00031589,1.051311957,NA,0,0,4.682131227,NA,NA,NA,NA,0,NA,2,3,NA,NA,NA,NA
Saguinus geoffroyi,3,6.199494461,NA,NA,NA,NA,5.455321115,5.416100402,4,NA,NA,1,NA,NA,15.52095358,0.678033543,NA,NA,3.86786211,NA,NA,NA,1.931521412,NA,2,2,NA,NA,NA,1
Cebus albifrons,3,7.827910534,NA,5.951371454,NA,7.291179256,NA,NA,5,NA,5.064428794,2,NA,NA,23.39871791,0.009950331,NA,6.269096284,5.446392485,NA,NA,2.704504838,3.218875825,NA,2,2,6.465856466,6.821859643,NA,1
Cebus capucinus,3,8.008362244,NA,5.934417892,NA,7.286191715,NA,NA,4,NA,5.081776966,2,NA,NA,28.12169981,0.009950331,NA,6.488596844,5.473782136,NA,NA,2.76877147,2.898670561,NA,2,2,8.010766753,7.207852464,NA,1
Saimiri oerstedii,3,6.571135031,NA,5.642686909,NA,NA,NA,NA,2,NA,5.081404365,1,NA,NA,NA,0.009950331,NA,NA,NA,NA,1.794122578,NA,3.222867846,NA,2,2,7.133033925,NA,NA,1
Ateles geoffroyi,3,8.933585051,NA,6.070899378,NA,7.640363528,NA,NA,2,NA,5.422170829,1,NA,0.260112761,32.37514479,0.009950331,NA,5.791793352,6.054087172,NA,NA,2.766200725,3.737669618,NA,2,1,9.345993307,8.154229946,NA,1
Ateles fusciceps,3,9.112500395,NA,6.192669191,NA,7.480935791,NA,NA,2,NA,5.414766179,1,NA,NA,29.18321435,0.009950331,NA,5.66296048,6.214588098,NA,NA,2.73776627,NA,NA,2,1,7.844388595,NA,NA,1
Alouatta palliata,3,8.791332473,NA,6.356715115,NA,7.231381066,7.614509463,8.448914351,2,NA,5.222623522,1,NA,NA,26.16046636,0.019802627,NA,5.703782475,5.762962917,NA,NA,2.713702199,2.57261223,NA,2,1,7.913654748,6.960110509,NA,1
Alouatta pigra,3,8.877948201,NA,6.340253478,NA,NA,NA,NA,2,NA,5.225316474,1,NA,NA,NA,0.009950331,NA,5.480638923,6.173786104,NA,NA,NA,1.704748092,NA,2,1,NA,NA,NA,1
Aplodontia rufa,NA,6.692344254,NA,5.726684868,NA,6.593044534,6.027627706,6.675823222,2,NA,3.401197382,1,NA,NA,NA,0.90016135,0,4.787491743,3.140698044,NA,NA,2.592033697,NA,NA,1,1,3.879754829,5.84932478,NA,NA
Microsciurus alfari,3,4.471524501,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
Microsciurus mimulus,3,4.787491743,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693147181,NA,2,3,NA,NA,NA,NA
Sciurus aberti,3,6.434466259,NA,5.595788866,3.737669618,NA,6.065086687,6.436150368,6,NA,3.713084143,2,NA,NA,NA,1.16315081,0.223143551,NA,2.48490665,NA,NA,2.440368181,NA,NA,2,2,4.115979677,5.87208962,NA,NA
Sciurus alleni,3,6.142338436,NA,5.454936426,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.098612289,NA,NA,NA,NA,NA,NA,NA,2.079441542,2,2,NA,NA,NA,NA
Sciurus arizonensis,3,6.472330838,NA,5.572876205,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.128171091,0,NA,NA,NA,NA,NA,NA,2.079441542,2,1,NA,NA,NA,NA
Sciurus carolinensis,3,6.30151947,NA,5.535284924,3.465735903,5.899897354,5.96870756,6.086774727,7,5.717553879,3.8019849,2,NA,NA,NA,1.091923301,0.693147181,5.66296048,2.719319793,NA,NA,2.413025239,0,2.079441542,2,2,4.110857599,5.298317367,NA,NA
Sciurus colliaei,3,6.210600077,NA,5.533942695,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,0.978326123,NA,NA,NA,NA,NA,NA,NA,2.079441542,2,1,NA,NA,NA,NA
Sciurus deppei,3,5.519458915,NA,5.30076437,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1.068153081,NA,NA,NA,NA,NA,NA,0,1.791759469,2,1,NA,NA,NA,NA
Sciurus granatensis,3,5.763434074,NA,5.401370222,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,0.641853886,0.916290732,NA,2.251291799,NA,NA,NA,0,1.791759469,2,2,NA,NA,NA,NA
Sciurus griseus,3,6.556565265,NA,5.680582081,NA,NA,NA,NA,4,NA,3.772531027,2,NA,NA,NA,0.97455964,0,NA,NA,NA,NA,2.408363187,NA,2.079441542,2,1,NA,NA,NA,NA
Sciurus nayaritensis,3,6.546785411,NA,5.642438844,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,0.887891257,NA,NA,NA,NA,NA,NA,NA,2.079441542,2,1,NA,NA,NA,NA
Sciurus niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sciurus oculatus,3,6.476941593,NA,5.587997442,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
Sciurus richmondi,3,5.470209728,NA,5.269917892,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0.951657876,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
Sciurus variegatoides,3,6.184148891,NA,5.570631962,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,1.60743591,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
Sciurus yucatanensis,3,5.416100402,NA,5.467469249,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1.098612289,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA
Syntheosciurus brochus,2,NA,NA,5.087596335,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693147181,NA,2,1,NA,NA,NA,NA
Tamiasciurus douglasii,3,5.416100402,NA,5.252063982,NA,NA,NA,NA,5,NA,3.663048694,2,NA,NA,NA,1.702928256,0.693147181,NA,1.60743591,NA,NA,2.223461937,0,2.079441542,2,2,NA,NA,NA,NA
Tamiasciurus hudsonicus,3,5.299516647,NA,5.238673514,3.417726684,NA,5.453909864,5.343051698,5,NA,3.533686565,1,NA,NA,NA,1.368639426,0.559615788,4.9698133,1.930071085,NA,NA,2.424871568,NA,2.079441542,2,2,4.065988719,4.572853585,NA,NA
Glaucomys sabrinus,1,4.923842075,NA,5.080285727,3.449987546,NA,NA,NA,6,NA,3.688879454,2,NA,NA,NA,1.098612289,0,5.049856007,1.729884066,3.88567903,NA,2.411640388,NA,NA,2,2,4.020725759,3.682358237,4.679349584,NA
Glaucomys volans,1,4.275276265,NA,4.851874002,3.258096538,NA,4.20543861,4.290459441,5,NA,3.676047475,1,NA,NA,10.80509139,1.141033005,0.693147181,4.9698133,1.283707772,NA,NA,2.411640388,NA,NA,2,2,3.853670531,3.832979798,NA,NA
Spermophilus townsendii,3,5.334118779,NA,5.154158271,NA,NA,4.862599215,5.442417711,5,NA,3.093312602,2,NA,NA,NA,2.138889,0,NA,1.30833282,3.835141961,NA,2.454685199,0,NA,1,2,3.19288785,3.741234684,NA,NA
Spermophilus tridecemlineatus,3,5.164271556,NA,4.923623917,3.258096538,NA,4.641887769,5.204006687,5,NA,3.314186005,2,NA,NA,NA,2.089391873,0,NA,1.098612289,NA,NA,2.361473053,0,NA,1,2,3.029704902,NA,NA,NA
Spermophilus adocetus,NA,5.046774341,NA,5.178801581,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
Spermophilus annulatus,NA,6.214588098,NA,5.398750764,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,1.355835154,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
Spermophilus armatus,NA,5.7251525,NA,5.391352233,NA,NA,5.248811947,5.726847748,3,NA,3.198673118,2,NA,NA,NA,1.686398954,0,4.094344562,NA,NA,NA,2.458133242,0,NA,1,2,2.777627844,4.867457524,NA,NA
Spermophilus atricapillus,NA,6.31171666,NA,5.499869492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.397895273,NA,NA,NA,NA,NA,NA
Spermophilus beecheyi,NA,6.393289705,NA,NA,3.555348061,NA,5.761359319,6.396262766,NA,NA,3.345332249,1,NA,NA,NA,1.903598951,0,4.094344562,2.228938553,NA,NA,2.428970431,NA,NA,1,NA,3.746812106,4.192378302,NA,NA
Spermophilus beldingi,3,5.6077487,NA,5.465525286,2.970414466,NA,5.204006687,5.66919103,5,4.025351691,3.265377659,2,NA,NA,NA,1.742219024,0,NA,1.925707442,NA,NA,2.458133242,NA,2.302585093,1,2,2.904392867,4.085976313,NA,NA
Spermophilus brunneus,NA,5.703782475,NA,5.19822075,NA,NA,NA,NA,8,NA,3.198673118,2,NA,NA,NA,2.014903021,0,NA,NA,NA,NA,NA,NA,2.302585093,1,2,NA,NA,NA,NA
Spermophilus canus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
