GlobalID,Longitude,Latitude,X1_1_ActivityCycle,X5_1_AdultBodyMass_g,X8_1_AdultForearmLen_mm,X13_1_AdultHeadBodyLen_mm,X2_1_AgeatEyeOpening_d,X3_1_AgeatFirstBirth_d,X18_1_BasalMetRate_mLO2hr,X5_2_BasalMetRateMass_g,X6_1_DietBreadth,X7_1_DispersalAge_d,X9_1_GestationLen_d,X12_1_HabitatBreadth,X22_1_HomeRange_km2,X22_2_HomeRange_Indiv_km2,X14_1_InterbirthInterval_d,X15_1_LitterSize,X16_1_LittersPerYear,X17_1_MaxLongevity_m,X5_3_NeonateBodyMass_g,X13_2_NeonateHeadBodyLen_mm,X10_1_PopulationGrpSize,X23_1_SexualMaturityAge_d,X10_2_SocialGrpSize,X24_1_TeatNumber,X12_2_Terrestriality,X6_2_TrophicLevel,X25_1_WeaningAge_d,X5_4_WeaningBodyMass_g,X13_3_WeaningHeadBodyLen_mm,XHYP_JTE
103152,-26.8586,83.26264,1.5,7.690835604,NA,5.495894492,3.080445408,5.635848749,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516483,0.549306145,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437913,1.844439727,1,1.666666667,4.288095997,5.798932656,NA,3
103677,-93.7032,81.01685,1,8.370869721,NA,5.557013377,2.602689685,5.635848749,4.578928875,4.051784948,2.5,NA,4.178039388,1,0.902975533,0.866842597,14.17423269,1.022002002,0.549306145,5.04688864,5.369966101,3.555062306,NA,2.339872852,1.609437913,1.386294361,1,1,4.464648575,7.084580318,NA,3
103682,-79.3204,81.01685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103692,-50.5548,81.01685,1.666666667,7.119208844,NA,5.862244881,2.933554058,5.212199819,6.953712773,7.229536754,1.666666667,4.923458601,3.833477319,1,1.577797941,1.403501039,14.3865646,1.642386373,0.597253157,4.915155732,2.772948469,3.555062306,NA,2.257555255,0.693147181,2.249904835,1,2.333333333,3.359806702,3.177198934,NA,NA
103697,-36.172,81.01685,1.5,7.02149104,NA,5.861389116,3.55820113,NA,NA,NA,2,4.65396035,4.072997577,1,0.902975533,0.866842597,19.10497317,1.817195795,0.405465108,4.438085142,0.810930216,NA,NA,2.282573808,0.693147181,2.302585093,1,2,3.934990843,3.227637331,NA,NA
103702,-21.7892,81.01685,1.5,7.690835604,NA,5.495894492,3.080445408,5.635848749,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516483,0.549306145,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437913,1.844439727,1,1.666666667,4.288095997,5.798932656,NA,3
104377,-87.7373,78.77106,1,8.370869721,NA,5.557013377,2.602689685,5.635848749,4.578928875,4.051784948,2.5,NA,4.178039388,1,0.902975533,0.866842597,14.17423269,1.022002002,0.549306145,5.04688864,5.369966101,3.555062306,NA,2.339872852,1.609437913,1.386294361,1,1,4.464648575,7.084580318,NA,3
104382,-76.2044,78.77106,1.333333333,9.953658804,NA,6.916687912,2.984915357,6.305362462,8.913436974,9.883024469,2,5.826422828,4.64823667,1,2.096849691,2.009828532,22.28913537,1.267178197,0.135155036,5.291495344,6.362383927,5.05815481,1.696535106,2.534858259,0.693147181,2.197224577,1,2,4.359634603,10.12290818,NA,1
104387,-64.6716,78.77106,1.666666667,8.136278263,NA,6.228024759,3.098986245,6.305362462,9.328496671,10.40728856,1.666666667,4.923458601,4.099011686,1,1.577797941,1.403501039,19.10497317,1.74660716,0.549306145,4.915155732,3.416352855,NA,NA,2.372934991,0.693147181,2.249904835,1,2.333333333,3.743567643,3.227637331,NA,NA
104392,-53.1387,78.77106,2,8.008292982,NA,6.167476385,3.098986245,6.305362462,9.328496671,10.40728856,1,4.923458601,4.172991834,1,2.252620348,1.940159481,19.10497317,1.756744908,0.693147181,5.157325199,3.416352855,NA,NA,2.341437382,NA,2.249904835,1,3,3.743567643,3.227637331,NA,NA
104397,-41.6059,78.77106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104402,-30.0731,78.77106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105232,-83.6211,76.52528,1.333333333,10.49339899,NA,6.916687912,2.984915357,6.729011392,8.913436974,9.883024469,2,5.826422828,4.827827846,1,2.096849691,2.009828532,22.566531,1.015732624,0.135155036,5.365788371,7.085236072,5.05815481,1.696535106,2.562341067,1.609437913,1.791759469,1,1.8,4.853979034,10.58265414,NA,2
105242,-64.3453,76.52528,1.666666667,8.136278263,NA,6.228024759,3.098986245,6.305362462,9.328496671,10.40728856,1.666666667,4.923458601,4.099011686,1,1.577797941,1.403501039,19.10497317,1.74660716,0.549306145,4.915155732,3.416352855,NA,NA,2.372934991,0.693147181,2.249904835,1,2.333333333,3.743567643,3.227637331,NA,NA
105247,-54.7074,76.52528,2,8.008292982,NA,6.167476385,3.098986245,6.305362462,9.328496671,10.40728856,1,4.923458601,4.172991834,1,2.252620348,1.940159481,19.10497317,1.756744908,0.693147181,5.157325199,3.416352855,NA,NA,2.341437382,NA,2.249904835,1,3,3.743567643,3.227637331,NA,NA
105252,-45.0695,76.52528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105257,-35.4316,76.52528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105262,-25.7937,76.52528,1.5,6.036994222,NA,5.495894492,3.080445408,4.119037175,4.578928875,4.051784948,2,4.65396035,3.727623123,1,0.902975533,0.866842597,12.02736032,1.6547052,0.549306145,4.438085142,1.148534956,3.555062306,NA,2.158854555,0.693147181,2.302585093,1,2,3.263637832,3.177198934,NA,NA
106214,-121.979,74.27949,1.333333333,9.022599226,NA,6.65317721,2.984915357,6.729011392,8.913436974,9.883024469,1.75,5.826422828,4.353544354,1,1.857299428,1.74505666,23.72038361,1.262244676,0.135155036,5.33458815,6.576715942,5.05815481,0,2.559128053,1.609437913,1.791759469,1,2,4.754136832,11.0424001,NA,3
106254,-55.6692,74.27949,2,8.008292982,NA,6.167476385,3.098986245,6.305362462,9.328496671,10.40728856,1,4.923458601,4.172991834,1,2.252620348,1.940159481,19.10497317,1.756744908,0.693147181,5.157325199,3.416352855,NA,NA,2.341437382,NA,2.249904835,1,3,3.743567643,3.227637331,NA,NA
106259,-47.3805,74.27949,2,8.008292982,NA,6.167476385,3.098986245,6.305362462,9.328496671,10.40728856,1,4.923458601,4.172991834,1,2.252620348,1.940159481,19.10497317,1.756744908,0.693147181,5.157325199,3.416352855,NA,NA,2.341437382,NA,2.249904835,1,3,3.743567643,3.227637331,NA,NA
106264,-39.0918,74.27949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106269,-30.8031,74.27949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106274,-22.5144,74.27949,1.5,7.690835604,NA,5.495894492,3.080445408,5.635848749,4.578928875,4.051784948,2,4.65396035,4.182265481,1,0.902975533,0.866842597,15.81781285,1.243516483,0.549306145,4.846376921,3.850287472,3.555062306,NA,2.287208991,1.609437913,1.844439727,1,1.666666667,4.288095997,5.798932656,NA,3
107369,-121.7544,72.0337,1.333333333,9.022599226,NA,6.65317721,2.984915357,6.729011392,8.913436974,9.883024469,1.75,5.826422828,4.353544354,1,1.857299428,1.74505666,23.72038361,1.262244676,0.135155036,5.33458815,6.576715942,5.05815481,0,2.559128053,1.609437913,1.791759469,1,2,4.754136832,11.0424001,NA,3
107374,-114.4737,72.0337,1,9.269412552,NA,6.901818534,3.330059354,7.152660322,8.498377277,9.358760377,2.25,6.459888805,4.604321793,1,2.044926138,2.033051549,23.72038361,1.079788134,-0.143841037,5.239911235,7.439722931,5.05815481,1.696535106,2.564511995,1.609437913,1.386294361,1,1.5,5.287923898,10.58265414,NA,2
107379,-107.193,72.0337,1,9.269412552,NA,6.901818534,3.330059354,7.152660322,8.498377277,9.358760377,2.25,6.459888805,4.604321793,1,2.044926138,2.033051549,23.72038361,1.079788134,-0.143841037,5.239911235,7.439722931,5.05815481,1.696535106,2.564511995,1.609437913,1.386294361,1,1.5,5.287923898,10.58265414,NA,2
107384,-99.9123,72.0337,1,9.222612104,NA,7.028170763,NA,7.152660322,NA,NA,2.666666667,NA,4.483920172,1,1.859238005,1.835493374,21.25184554,1.088784155,0.405465108,5.194788844,8.932294483,NA,3.393070212,2.561131877,1.609437913,1.386294361,1,1,5.745258985,10.58265414,NA,2
107394,-85.3509,72.0337,1.25,8.087022885,NA,6.478799134,2.80307294,5.212199819,7.520081856,8.034144035,1.8,5.689648686,4.089163386,1,1.901333541,1.831971374,18.18442535,1.406860609,0.274653072,5.271787645,5.03666994,4.306608558,1.696535106,2.408879475,0.693147181,2.13833306,1,2.2,3.874515197,6.851502469,5.703782475,1
107399,-78.0702,72.0337,1.25,8.087022885,NA,6.478799134,2.80307294,5.212199819,7.520081856,8.034144035,1.8,5.689648686,4.089163386,1,1.901333541,1.831971374,18.18442535,1.406860609,0.274653072,5.271787645,5.03666994,4.306608558,1.696535106,2.408879475,0.693147181,2.13833306,1,2.2,3.874515197,6.851502469,5.703782475,1
107419,-48.9474,72.0337,2,8.008292982,NA,6.167476385,3.098986245,6.305362462,9.328496671,10.40728856,1,4.923458601,4.172991834,1,2.252620348,1.940159481,19.10497317,1.756744908,0.693147181,5.157325199,3.416352855,NA,NA,2.341437382,NA,2.249904835,1,3,3.743567643,3.227637331,NA,NA
107424,-41.6667,72.0337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
